"Variable","sq_h_h_coef","sq_h_h_conf_lower","sq_h_h_conf_upper","sq_h_f_coef","sq_h_f_conf_lower","sq_h_f_conf_upper","sq_hf_h_coef","sq_hf_h_conf_lower","sq_hf_h_conf_upper","sq_hf_f_coef","sq_hf_f_conf_lower","sq_hf_f_conf_upper"
"(Intercept)",0.379586643025541,0.374654312430411,0.38451897362067,3.75259365781401,3.62105134448623,3.8841359711418,0.468160680863061,0.45891224519059,0.477409116535532,2.92584831030985,2.81739967967439,3.03429694094532
"agegroup25-39",-0.0184233179354331,-0.023503914230797,-0.0133427216400692,-0.186607307687544,-0.322103778754735,-0.0511108366203525,-0.0315037895641452,-0.0401217062553845,-0.0228858728729059,-0.792457503720791,-0.893512568295374,-0.691402439146207
"agegroup40-64",0.00834625053668853,0.00366835897497294,0.0130241420984041,-0.67409806330702,-0.798854639464396,-0.549341487149643,0.0133968660208085,0.00542448209041392,0.0213692499512031,-1.37008665297453,-1.46357209751571,-1.27660120843334
"agegroup64+",0.0193039998355723,0.0133840463001725,0.0252239533709721,-1.10412100304332,-1.26200263076886,-0.94623937531778,0.0308269247537401,0.0192529158837855,0.0424009336236947,-1.56057636562115,-1.69629503820116,-1.42485769304115
"sexF",-0.045487701452104,-0.0488739357717936,-0.0421014671324144,0.996119771296914,0.905810922915626,1.0864286196782,-0.116899565911215,-0.123040098889588,-0.110759032932842,0.775002651049006,0.702997782716654,0.847007519381358
"time_to_fu_quantilesq2",-0.0329863131599958,-0.0375862102812122,-0.0283864160387794,0.295474909623636,0.172798398646824,0.418151420600447,-0.0598319604296043,-0.0679755928842829,-0.0516883279749257,-0.68848533861549,-0.783978870644618,-0.592991806586361
"time_to_fu_quantilesq3",-0.0261777702181922,-0.0305172652598425,-0.0218382751765419,-1.03488077519333,-1.15061251811762,-0.919149032269031,0.0157520012420705,0.00776795203469305,0.023736050449448,-0.371248100896026,-0.464870334334228,-0.277625867457824
"time_to_fu_quantilesq4",0.00955380549610433,0.00510659729823954,0.0140010136939691,0.213335138822152,0.0947307503054692,0.331939527338835,0.0459244766959021,0.0378493463442137,0.0539996070475906,0.263437210779553,0.168746945327393,0.358127476231714
