"Variable","sq_h_h_coef","sq_h_h_conf_lower","sq_h_h_conf_upper","sq_h_f_coef","sq_h_f_conf_lower","sq_h_f_conf_upper","sq_hf_h_coef","sq_hf_h_conf_lower","sq_hf_h_conf_upper","sq_hf_f_coef","sq_hf_f_conf_lower","sq_hf_f_conf_upper"
"(Intercept)",0.378521491624009,0.372790407192654,0.384252576055363,3.77588342127575,3.62296773981374,3.92879910273776,0.493486983171526,0.481583153834706,0.505390812508346,3.43898788599354,3.29958703018302,3.57838874180407
"agegroup25-39",-0.0211885715378391,-0.0262602892466927,-0.0161168538289854,-0.178694341729142,-0.314016928391686,-0.0433717550665984,-0.0305076328507363,-0.0391590130072746,-0.0218562526941979,-0.762225803992393,-0.863538563411186,-0.6609130445736
"agegroup40-64",0.00521384625263818,0.000555787126604261,0.00987190537867209,-0.659752306270299,-0.78403773498444,-0.535466877556158,0.0151484028044675,0.00710169508012995,0.0231951105288051,-1.30863821665022,-1.40286990558751,-1.21440652771293
"agegroup64+",0.015644781736793,0.00974709616768421,0.0215424673059018,-1.0864644511324,-1.2438253517876,-0.929103550477195,0.0337290723171522,0.0220583808289443,0.04539976380536,-1.47111347366698,-1.60778414789485,-1.3344427994391
"sexF",-0.0553031158734365,-0.0583819006308823,-0.0522243311159907,1.05093732680309,0.968789789997667,1.13308486360852,-0.115413492146121,-0.121570305629302,-0.10925667866294,0.754753070348101,0.68265315658619,0.826852984110011
"time_to_fu",-9.73043837269637e-05,-0.000130472651385145,-6.41361160687822e-05,-0.00240086367668342,-0.00328585295098497,-0.00151587440238187,-0.000352034591837039,-0.000418207215825775,-0.000285861967848303,-0.00709557040218131,-0.00787049082100192,-0.0063206499833607
"I(time_to_fu^2)",2.96709725270169e-07,2.37210993241853e-07,3.56208457298486e-07,5.63484736063358e-06,4.04731375103266e-06,7.22238097023451e-06,8.48444201390723e-07,7.26631915858668e-07,9.70256486922778e-07,1.45931400712286e-05,1.31666464303225e-05,1.60196337121346e-05
"I(time_to_fu^3)",-1.21022666854041e-10,-1.46749429806169e-10,-9.52959039019131e-11,-2.49461720909101e-09,-3.18105370043172e-09,-1.8081807177503e-09,-3.81215962874704e-10,-4.39168690127942e-10,-3.23263235621467e-10,-6.17636103291296e-09,-6.85502161742476e-09,-5.49770044840115e-09
