nodesize,mtry,ntree,replace
4,4,200,FALSE
8,4,200,FALSE
1,1,400,FALSE
2,1,400,FALSE
4,1,400,FALSE
8,1,400,FALSE
1,2,400,FALSE
2,2,400,FALSE
4,2,400,FALSE
8,2,400,FALSE
1,3,400,FALSE
2,3,400,FALSE
4,3,400,FALSE
8,3,400,FALSE
1,4,400,FALSE
2,4,400,FALSE
4,4,400,FALSE
8,4,400,FALSE
1,1,600,FALSE
2,1,600,FALSE
4,1,600,FALSE
8,1,600,FALSE
1,2,600,FALSE
2,2,600,FALSE
4,2,600,FALSE
8,2,600,FALSE
1,3,600,FALSE
2,3,600,FALSE
4,3,600,FALSE
8,3,600,FALSE
1,4,600,FALSE
2,4,600,FALSE
4,4,600,FALSE
8,4,600,FALSE
1,1,800,FALSE
2,1,800,FALSE
4,1,800,FALSE
8,1,800,FALSE
1,2,800,FALSE
2,2,800,FALSE
4,2,800,FALSE
8,2,800,FALSE
1,3,800,FALSE
2,3,800,FALSE
4,3,800,FALSE
8,3,800,FALSE
1,4,800,FALSE
2,4,800,FALSE
4,4,800,FALSE
8,4,800,FALSE
1,1,1000,FALSE
2,1,1000,FALSE
4,1,1000,FALSE
8,1,1000,FALSE
1,2,1000,FALSE
2,2,1000,FALSE
4,2,1000,FALSE
8,2,1000,FALSE
1,3,1000,FALSE
2,3,1000,FALSE
4,3,1000,FALSE
8,3,1000,FALSE
1,4,1000,FALSE
2,4,1000,FALSE
4,4,1000,FALSE
8,4,1000,FALSE
1,1,1200,FALSE
2,1,1200,FALSE
4,1,1200,FALSE
8,1,1200,FALSE
1,2,1200,FALSE
2,2,1200,FALSE
4,2,1200,FALSE
8,2,1200,FALSE
1,3,1200,FALSE
2,3,1200,FALSE
4,3,1200,FALSE
8,3,1200,FALSE
1,4,1200,FALSE
2,4,1200,FALSE
4,4,1200,FALSE
8,4,1200,FALSE
1,1,1400,FALSE
2,1,1400,FALSE
4,1,1400,FALSE
8,1,1400,FALSE
1,2,1400,FALSE
2,2,1400,FALSE
4,2,1400,FALSE
8,2,1400,FALSE
1,3,1400,FALSE
2,3,1400,FALSE
4,3,1400,FALSE
8,3,1400,FALSE
1,4,1400,FALSE
2,4,1400,FALSE
4,4,1400,FALSE
8,4,1400,FALSE
1,1,1600,FALSE
2,1,1600,FALSE
4,1,1600,FALSE
8,1,1600,FALSE
1,2,1600,FALSE
2,2,1600,FALSE
4,2,1600,FALSE
8,2,1600,FALSE
1,3,1600,FALSE
2,3,1600,FALSE
4,3,1600,FALSE
8,3,1600,FALSE
1,4,1600,FALSE
2,4,1600,FALSE
4,4,1600,FALSE
8,4,1600,FALSE
1,1,1800,FALSE
2,1,1800,FALSE
4,1,1800,FALSE
8,1,1800,FALSE
1,2,1800,FALSE
2,2,1800,FALSE
4,2,1800,FALSE
8,2,1800,FALSE
1,3,1800,FALSE
2,3,1800,FALSE
4,3,1800,FALSE
8,3,1800,FALSE
1,4,1800,FALSE
2,4,1800,FALSE
4,4,1800,FALSE
8,4,1800,FALSE
1,1,2000,FALSE
2,1,2000,FALSE
4,1,2000,FALSE
8,1,2000,FALSE
1,2,2000,FALSE
2,2,2000,FALSE
4,2,2000,FALSE
8,2,2000,FALSE
1,3,2000,FALSE
2,3,2000,FALSE
4,3,2000,FALSE
8,3,2000,FALSE
1,4,2000,FALSE
2,4,2000,FALSE
4,4,2000,FALSE
8,4,2000,FALSE
1,1,2200,FALSE
2,1,2200,FALSE
4,1,2200,FALSE
8,1,2200,FALSE
1,2,2200,FALSE
2,2,2200,FALSE
4,2,2200,FALSE
8,2,2200,FALSE
1,3,2200,FALSE
2,3,2200,FALSE
4,3,2200,FALSE
8,3,2200,FALSE
1,4,2200,FALSE
2,4,2200,FALSE
4,4,2200,FALSE
8,4,2200,FALSE
1,1,2400,FALSE
2,1,2400,FALSE
4,1,2400,FALSE
8,1,2400,FALSE
1,2,2400,FALSE
2,2,2400,FALSE
4,2,2400,FALSE
8,2,2400,FALSE
1,3,2400,FALSE
2,3,2400,FALSE
4,3,2400,FALSE
8,3,2400,FALSE
1,4,2400,FALSE
2,4,2400,FALSE
4,4,2400,FALSE
8,4,2400,FALSE
1,1,2600,FALSE
2,1,2600,FALSE
4,1,2600,FALSE
8,1,2600,FALSE
1,2,2600,FALSE
2,2,2600,FALSE
4,2,2600,FALSE
8,2,2600,FALSE
1,3,2600,FALSE
2,3,2600,FALSE
4,3,2600,FALSE
8,3,2600,FALSE
1,4,2600,FALSE
2,4,2600,FALSE
4,4,2600,FALSE
8,4,2600,FALSE
1,1,2800,FALSE
2,1,2800,FALSE
4,1,2800,FALSE
8,1,2800,FALSE
1,2,2800,FALSE
2,2,2800,FALSE
4,2,2800,FALSE
8,2,2800,FALSE
1,3,2800,FALSE
2,3,2800,FALSE
4,3,2800,FALSE
8,3,2800,FALSE
1,4,2800,FALSE
2,4,2800,FALSE
4,4,2800,FALSE
8,4,2800,FALSE
